team_name,stadium_name,city,latitude,longitude
1. FC Köln,RheinEnergieStadion,Köln,50.9335055,6.8751167
1899 Hoffenheim,PreZero Arena,Sinsheim,49.2380604,8.8876414
AC Milan,Stadio Giuseppe Meazza,Milano,45.4782003,9.123964
AS Roma,Stadio Olimpico,Roma,41.9387659,12.458134
Ajaccio,Stade François Coty,Ajaccio,41.9308308,8.776793
Almeria,Power Horse Stadium – Estadio de los Juegos Mediterráneos,Almería,36.8685739,-2.3120282
Angers,Stade Raymond-Kopa,Angers,47.4605516,-0.5306948
Arsenal,Emirates Stadium,London,51.5550404,-0.1083997
Aston Villa,Villa Park,Birmingham,52.5091264,-1.8850354
Atalanta,Gewiss Stadium,Bergamo,45.7566557,9.7542192
Athletic Club,San Mamés Barria,Bilbao,43.264204,-2.9493915
Atletico Madrid,Estádio Cívitas Metropolitano,Madrid,40.416782,-3.703507
Auxerre,Stade de l'Abbé Deschamps,Auxerre,47.7961287,3.570579
Barcelona,Spotify Camp Nou,Barcelona,41.3808806,2.1228182
Bayer Leverkusen,BayArena,Leverkusen,51.0381439,7.0030964
Bayern Munich,Allianz Arena,München,48.2187901,11.6236227
Bologna,Stadio Renato Dall'Ara,Bologna,44.492317,11.3099971
Borussia Dortmund,SIGNAL IDUNA PARK,Dortmund,51.4924922,7.4518549
Borussia Monchengladbach,Stadion im BORUSSIA-PARK,Mönchengladbach,51.1746249,6.3854094
"Bournemouth,Vitality Stadium,""Bournemouth, Dorset"",50.728828,-1.901856"
"Brentford,Gtech Community Stadium,""Brentford, Middlesex"",51.472865,-0.3243682"
"Brighton,The American Express Community Stadium,""Falmer, East Sussex"",50.8687985,-0.0688139"
Cadiz,Estadio Nuevo Mirandilla,Cádiz,36.5026039,-6.2730167
Celta Vigo,Abanca-Balaídos,Vigo,42.2117659,-8.7396656
Chelsea,Stamford Bridge,London,51.4816869,-0.1910336
Clermont Foot,Stade Gabriel Montpied,Clermont-Ferrand,45.8158775,3.1215004
Cremonese,Stadio Giovanni Zini,Cremona,45.140044,10.0350005
Crystal Palace,Selhurst Park,London,51.3982429,-0.0852551
Eintracht Frankfurt,Deutsche Bank Park,Frankfurt am Main,50.0686103,8.6454154
Elche,Estadio Manuel Martínez Valero,Elche,38.2670445,-0.6633051
Empoli,Stadio Carlo Castellani,Empoli,43.7265476,10.9547274
Espanyol,RCDE Stadium,Cornella de Llobregat,41.3478567,2.0764584
Estac Troyes,Stade de l'Aube,Troyes,48.3075171,4.0985168
Everton,Goodison Park,Liverpool,53.4386898,-2.9664193
FC Augsburg,WWK Arena,Augsburg,48.3231179,10.885879
FC Schalke 04,VELTINS-Arena,Gelsenkirchen,51.5545938,7.0676001
FSV Mainz 05,MEWA ARENA,Mainz,49.9839451,8.2244738
Fiorentina,Stadio Artemio Franchi,Firenze,43.7808838,11.2828191
Fulham,Craven Cottage,London,51.4749218,-0.2217448
Getafe,Coliseum Alfonso Pérez,Getafe,40.3257247,-3.7149326
Girona,Estadi Municipal de Montilivi,Girona,41.9612296,2.8289964
Hamburger SV,Volksparkstadion,Hamburg,53.5871535,9.8987056
Hellas Verona,Stadio Marc'Antonio Bentegodi,Verona,45.4424977,10.9857377
Hertha Berlin,Olympiastadion Berlin,Berlin,52.5145846,13.2398144
Inter,Stadio Giuseppe Meazza,Milano,45.4782003,9.123964
Juventus,Allianz Stadium,Torino,45.1095759,7.6421338
Lazio,Stadio Olimpico,Roma,41.9387659,12.458134
Lecce,Stadio Comunale Via del Mare,Lecce,40.1522173,18.2260628
"Leeds,Elland Road,""Leeds, West Yorkshire"",53.7747482,-1.5761836"
"Leicester,King Power Stadium,""Leicester, Leicestershire"",52.6849138,-1.1847653"
Lens,Stade Bollaert-Delelis,Lens,50.4328242,2.8149863
Lille,Stade Pierre-Mauroy,Villeneuve d'Ascq,50.6119044,3.130508
Liverpool,Anfield,Liverpool,53.4309011,-2.9609719
Lorient,Stade Yves Allainmat - Le Moustoir,Lorient,47.7488021,-3.3695412
Lyon,Groupama Stadium,Décines-Charpieu,45.7653624,4.9820543
Mallorca,Visit Mallorca Estadi,Palma de Mallorca,39.5695818,2.6500745
Manchester City,Etihad Stadium,Manchester,53.4831448,-2.2005273
Manchester United,Old Trafford,Manchester,53.4631096,-2.2913865
Marseille,Stade Orange Vélodrome,Marseille,43.2698363,5.3959117
Monaco,Stade Louis II,Monaco,43.7275713,7.4154577
Montpellier,Stade de la Mosson,Montpellier,43.622022,3.8120898
Monza,U-Power Stadium,Monza,45.583112,9.3079276
Nantes,Stade de la Beaujoire - Louis Fonteneau,Nantes,47.256005,-1.5247552
Napoli,Stadio Diego Armando Maradona,Napoli,40.8279773,14.192889
Newcastle,St. James' Park,Newcastle upon Tyne,54.9754693,-1.6218737
Nice,Allianz Riviera,Nice,43.7051477,7.1926033
"Nottingham Forest,The City Ground,""Nottingham, Nottinghamshire"",52.9399387,-1.1328954"
Osasuna,Estadio El Sadar,Iruñea,42.7966625,-1.6371311
Paris Saint Germain,Parc des Princes,Paris,48.8413634,2.2530693
RB Leipzig,Red Bull Arena,Leipzig,51.3457078,12.3482361
Rayo Vallecano,Estadio de Vallecas,Madrid,40.3917566,-3.6587366
Real Betis,Estadio Benito Villamarín,Sevilla,37.3564503,-5.9809176
Real Madrid,Estadio Santiago Bernabéu,Madrid,40.4530437,-3.688197
Real Sociedad,Reale Arena,Donostia-San Sebastián,43.3013899,-1.9735689
Reims,Stade Auguste-Delaune II,Reims,49.2577886,4.031926
Rennes,Roazhon Park,Rennes,48.1075655,-1.7126543
SC Freiburg,Europa-Park Stadion,Freiburg im Breisgau,48.0213778,7.829817
Salernitana,Stadio Arechi,Salerno,40.6455616,14.8235898
Sampdoria,Stadio Comunale Luigi Ferraris,Genova,44.4164753,8.9525341
Sassuolo,MAPEI Stadium - Città del Tricolore,Reggio nell'Emilia,44.7145456,10.6497308
Sevilla,Estadio Ramón Sánchez Pizjuán,Sevilla,37.3840876,-5.9706309
Southampton FC,St. Mary's Stadium,Southampton,50.9058,-1.3914
Spezia,Stadio Alberto Picco,La Spezia,44.1021153,9.8093242
Stade Brestois 29,Stade Francis-Le Blé,Brest,48.4030423,-4.4613605
Strasbourg,Stade de la Meinau,Strasbourg,48.5599481,7.7551221
Torino,Stadio Olimpico Grande Torino,Torino,45.0417432,7.6500185
Tottenham,Tottenham Hotspur Stadium,London,51.604157,-0.0662604
Toulouse,Stadium de Toulouse,Toulouse,43.5832262,1.4340638
Udinese,Dacia Arena,Udine,46.081402,13.1997411
Union Berlin,Stadion An der Alten Försterei,Berlin,52.4569741,13.5680789
Valencia,Estadio de Mestalla,Valencia,39.4697065,-0.3763353
Valladolid,Estadio Municipal José Zorrilla,Valladolid,41.6200024,-4.7259906
VfB Stuttgart,Mercedes-Benz-Arena,Stuttgart,48.7922488,9.2320857
VfL Wolfsburg,VOLKSWAGEN ARENA,Wolfsburg,52.4326524,10.8038151
Vfl Bochum,Vonovia Ruhrstadion,Bochum,51.4900826,7.2365091
Villarreal,Estadio Ciudad de Valencia,Valencia,39.4946425,-0.3638622
Werder Bremen,wohninvest WESERSTADION,Bremen,53.0758196,8.8071646
West Ham,London Stadium,London,51.5386207,-0.0166238
"Wolves,Molineux Stadium,""Wolverhampton, West Midlands"",52.5902723,-2.1304079"
